position,name,team,level,league,nationality,dob,age,overall,potential,salary,years_left,contract_value,total_years
SP,Benjamin Blakely,Minnesota,MLB,MLB,USA,12/03/2029,38,4.0,4.0,8900000.0,4,53600000.0,5
1B,ZAHID DHAN,Omaha,MLB,MLB,PAK,05/30/2035,32,3.5,3.5,8900000.0,3,71200000.0,8
RF,Achilles Pabon,Minnesota,MLB,MLB,CUB,01/12/2032,36,5.0,5.0,8900000.0,2,35600000.0,4
SS,Cameron Trundle,Vancouver,MLB,MLB,USA,05/30/2033,34,4.0,4.0,8800000.0,4,68800000.0,7
RF,Júlio Almaguer,San Francisco,MLB,MLB,CUB,07/26/2036,31,4.5,4.5,8654141.0,2,43270705.0,5
RF,Danny Craig,Houston,MLB,MLB,USA,05/01/2035,32,4.5,4.5,8500000.0,3,39100000.0,5
2B,Travis Culver,Vancouver,MLB,MLB,USA,08/14/2036,31,5.0,5.0,8400000.0,5,57200000.0,7
RF,Garth Howard,Portland,MLB,MLB,USA,05/03/2036,31,5.0,5.0,8400000.0,4,40800000.0,5
3B,Marcel Romero,New York,MLB,MLB,MEX,12/10/2030,37,4.0,4.0,8400000.0,2,24500000.0,3
SP,ISAAC CHARLES,Montreal,MLB,MLB,FRA,09/10/2035,32,4.0,4.0,7900000.0,4,49050000.0,7
2B,Brian Dillard,Chicago,MLB,MLB,USA,11/16/2034,33,4.0,4.0,7900000.0,5,53500000.0,7
2B,Hayes Wingfield,Carolina,MLB,MLB,USA,04/09/2037,30,3.5,3.5,7500000.0,5,48300000.0,7
SS,STEFAN BOZINOVSKI,Salt Lake,MLB,MLB,MKD,02/21/2037,30,3.5,3.5,7494438.0,5,53271256.0,8
1B,Teddy Smith,Atlanta,MLB,MLB,CAN,11/29/2035,32,4.5,4.5,7400000.0,6,44400000.0,6
3B,Shi Tanaka,San Diego,MLB,MLB,JPN,12/11/2030,37,4.0,4.0,7300000.0,2,14600000.0,2
SP,Jeff Baughman,Philadelphia,MLB,MLB,USA,10/03/2031,36,4.0,4.0,7200000.0,2,30400000.0,4
2B,Eric Flowers,Albuquerque,MLB,MLB,USA,12/17/2038,29,4.5,4.5,7200000.0,4,30000000.0,4
2B,Ju-Wan Lee,Toronto,MLB,MLB,KOR,02/15/2042,25,5.0,5.0,7102022.0,5,56269132.0,5
SP,C.J. PARK,Houston,MLB,MLB,PRK,10/25/2037,30,4.0,4.0,7100000.0,5,51200000.0,7
SS,Garrett Forest,Montreal,MLB,MLB,CAN,04/17/2035,32,4.5,4.5,6900000.0,3,27600000.0,4
CF,Hugo Lopez,New Orleans,MLB,MLB,USA,11/24/2034,33,5.0,5.0,6900000.0,4,46500000.0,7
LF,Simon Samir,Washington,MLB,MLB,USA,04/26/2038,29,5.0,5.0,6900000.0,3,21200000.0,3
1B,Germano Villarreal,Montreal,MLB,MLB,CUB,03/26/2032,35,5.0,5.0,6900000.0,3,39700000.0,6
2B,Emil Álvarez,Portland,MLB,MLB,MEX,11/26/2034,33,5.0,5.0,6900000.0,3,51600000.0,8
C,Brantley Sandoval,Portland,MLB,MLB,USA,09/19/2035,32,4.5,4.5,6800000.0,5,40800000.0,6
C,Jerónimo Torres,Boston,MLB,MLB,CUB,10/05/2033,34,3.5,3.5,6800000.0,1,49600000.0,7
RF,Marc Valdez,Nashville,MLB,MLB,PUR,09/13/2034,33,4.5,4.5,6700000.0,1,32600000.0,5
1B,J.C. Cunningham,Minnesota,MLB,MLB,USA,08/14/2040,27,5.0,5.0,6600000.0,4,32600000.0,4
1B,Urbano De Jesus,San Diego,MLB,MLB,PUR,08/19/2036,31,4.5,4.5,6500000.0,5,45500000.0,7
SP,Marz Rivero,Detroit,MLB,MLB,CUB,02/12/2037,30,3.5,3.5,6500000.0,3,28300000.0,4
RF,Jake Tremblay,Montreal,MLB,MLB,CAN,05/08/2034,33,4.0,4.0,6400000.0,4,32000000.0,5
C,Terrence Baehr,Houston,MLB,MLB,USA,09/12/2035,32,5.0,5.0,6300000.0,3,31500000.0,5
2B,Jorge Grado,Colorado,MLB,MLB,MEX,01/14/2040,28,5.0,5.0,6300000.0,6,46760000.0,8
RF,Josh Kropf,Toronto,MLB,MLB,USA,04/07/2035,32,5.0,5.0,6300000.0,4,44100000.0,7
LF,PRINCE OPPONG,Nashville,MLB,MLB,GHA,02/09/2040,27,5.0,5.0,6300000.0,4,26460000.0,5
C,Yves Smith,Atlanta,MLB,MLB,USA,01/03/2034,34,3.5,3.5,6200000.0,3,43400000.0,7
3B,Valter Toivonen,New Orleans,MLB,MLB,FIN,07/24/2039,28,3.5,4.0,6200000.0,3,29250000.0,5
CL,Yolebi Valdes,Nashville,MLB,MLB,CUB,07/24/2038,29,5.0,5.0,6100000.0,2,18200000.0,3
SP,Javier Fernández,Washington,MLB,MLB,PUR,11/19/2034,33,3.5,3.5,6000000.0,4,42800000.0,7
RP,Jaxon Etcitty,Nashville,MLB,MLB,USA,04/24/2034,33,3.0,3.0,5900000.0,1,31400000.0,6
C,Santino Ayala,Cincinnati,MLB,MLB,PUR,08/20/2033,34,3.5,3.5,5800000.0,2,42450000.0,8
SS,Derek Côté,San Diego,MLB,MLB,CAN,09/08/2036,31,3.5,3.5,5800000.0,3,22200000.0,4
SS,Rodrigo Díaz,Portland,MLB,MLB,CUB,06/08/2033,34,3.5,3.5,5800000.0,3,34800000.0,6
RF,Alejandro Guerra,Toronto,MLB,MLB,CUB,02/16/2033,34,4.5,4.5,5800000.0,4,38900000.0,7
C,Alex Latour,San Diego,MLB,MLB,CAN,08/29/2037,30,5.0,5.0,5800000.0,1,11600000.0,2
C,Zeb Lilla,Vancouver,MLB,MLB,USA,07/12/2031,36,3.5,3.5,5800000.0,2,29000000.0,5
3B,Ziyad Jameel,Washington,MLB,MLB,IRQ,11/18/2034,33,4.5,4.5,5700000.0,2,21800000.0,4
RF,Sadat Salifou,Salt Lake,MLB,MLB,MTN,11/09/2035,32,3.5,3.5,5700000.0,3,22800000.0,4
SP,Miles Todd,Detroit,MLB,MLB,CAN,11/06/2035,32,3.5,3.5,5600000.0,5,28000000.0,5
1B,Julián Navarro,Nashville,MLB,MLB,PUR,04/25/2038,29,3.5,3.5,5500000.0,4,22000000.0,4
CF,ISSAC ROTH,Portland,MLB,MLB,CAN,05/06/2039,28,5.0,5.0,5500000.0,5,36530000.0,8
CF,Logan Klausman,Washington,MLB,MLB,USA,12/17/2034,33,3.0,3.0,5400000.0,3,37800000.0,7
SP,Ruben Sosa,New Orleans,MLB,MLB,MEX,06/20/2038,29,4.5,5.0,5300000.0,5,32960000.0,7
LF,Morton Hill,New York,MLB,MLB,USA,12/28/2037,30,3.5,3.5,5200000.0,7,35400000.0,7
SP,Minoru Watamura,Minnesota,MLB,MLB,JPN,03/03/2028,39,3.5,3.5,5200000.0,1,10400000.0,2
C,Ruben López,Chicago,MLB,MLB,CUB,06/21/2036,31,5.0,5.0,5049223.0,4,85126443.0,4
1B,Yordi García,Toronto,MLB,MLB,CUB,04/15/2031,36,5.0,5.0,5000000.0,3,22200000.0,6
LF,Colt Alexander,Tampa Bay,MLB,MLB,USA,06/10/2036,31,4.5,4.5,4950000.0,3,24750000.0,5
3B,George Copeland,Chicago,MLB,MLB,USA,09/27/2033,34,3.0,3.0,4950000.0,2,34650000.0,7
SP,Jon Cummings,San Francisco,MLB,MLB,USA,10/14/2032,35,4.0,4.0,4950000.0,1,9900000.0,2
RP,Fujio Kojima,Chicago,MLB,MLB,JPN,04/10/2028,39,3.0,3.0,4900000.0,0,4900000.0,1
SP,SYDNEY O'MALLEY,Chicago,MLB,MLB,IRL,06/05/2040,27,4.0,4.0,4900000.0,6,53900000.0,11
C,Christian Conquest,San Francisco,MLB,MLB,USA,01/25/2033,35,4.0,4.0,4850000.0,2,30900000.0,6
2B,Karson Green,Minnesota,MLB,MLB,USA,07/22/2038,29,5.0,5.0,4850000.0,4,31450000.0,8
1B,Abe Ruiz,Cincinnati,MLB,MLB,PUR,10/03/2039,28,4.0,4.0,4850000.0,4,19400000.0,4
SP,Dave Iverson,Montreal,MLB,MLB,USA,04/14/2036,31,3.0,3.0,4800000.0,3,28800000.0,6
SP,Adrián Jarquin,Boston,MLB,MLB,CUB,09/11/2037,30,3.5,3.5,4800000.0,8,59907784.0,9
SP,MAURICE VOSSEN,Chicago,MLB,MLB,BEL,04/14/2037,30,5.0,5.0,4789679.0,3,33527750.0,7
C,SMOKEY GONZALES,Cleveland,MLB,MLB,CUB,06/04/2035,32,5.0,5.0,4700000.0,3,31140000.0,8
2B,Adrián Koo,Cleveland,MLB,MLB,CUB,09/01/2039,28,3.5,3.5,4700000.0,3,23500000.0,5
1B,Keyshawn Brock,Detroit,MLB,MLB,CUR,08/01/2033,34,3.0,3.0,4600000.0,1,34600000.0,8
1B,Koji Shoda,Toronto,MLB,MLB,JPN,11/02/2030,37,3.5,3.5,4600000.0,2,13800000.0,3
3B,Wayne Daniel,Nashville,MLB,MLB,LCA,07/27/2032,35,4.0,4.0,4500000.0,3,12950000.0,3
RF,A.J. Schindler,Seattle,MLB,MLB,USA,01/26/2034,34,3.5,3.5,4500000.0,3,31570000.0,8
2B,Dwaine Figueroa,New York,MLB,MLB,CUB,01/20/2034,34,4.0,4.0,4450000.0,3,28960000.0,8
C,Manol Torres,Toronto,MLB,MLB,CUB,07/20/2038,29,4.5,5.0,4450000.0,2,18550000.0,5
1B,J.P. Avalos,Seattle,MLB,MLB,CUB,03/07/2034,33,5.0,5.0,4400000.0,2,36150000.0,8
1B,Mateo Reyes,Austin,MLB,MLB,PUR,04/09/2033,34,3.5,3.5,4400000.0,3,17600000.0,4
RF,Abraham Wilson,Boise,MLB,MLB,USA,04/02/2034,33,3.5,3.5,4400000.0,3,27900000.0,7
SP,Evan Dawson,Houston,MLB,MLB,USA,12/17/2035,32,3.5,3.5,4250000.0,2,8500000.0,2
SP,Dominic Hammond,Washington,MLB,MLB,USA,07/03/2036,31,3.5,3.5,4200000.0,7,32450000.0,7
3B,Mendy Herrera,Boise,MLB,MLB,PUR,07/23/2033,34,4.0,4.0,4200000.0,4,21000000.0,5
CF,Jonas Kinney,Philadelphia,MLB,MLB,USA,05/29/2034,33,3.5,3.5,4200000.0,4,23150000.0,6
1B,Thurston Baland,New Orleans,MLB,MLB,USA,03/04/2039,28,5.0,5.0,4166167.0,6,41221388.0,8
LF,Carson Jutharat,Montreal,MLB,MLB,USA,04/16/2034,33,3.5,3.5,4150000.0,2,30310000.0,8
RF,DWAIN SARGEANT,Cleveland,MLB,MLB,BRB,04/26/2037,30,3.5,3.5,4150000.0,5,32600000.0,8
3B,Joel Ishaya,Los Angeles,MLB,MLB,USA,12/05/2035,32,2.5,2.5,4000000.0,1,26700000.0,8
SP,Alex Sanchez,Nashville,MLB,MLB,PUR,07/14/2030,37,3.0,3.0,3950000.0,1,16700000.0,4
CL,Brody Hale,Toronto,MLB,MLB,USA,02/02/2034,33,4.0,4.0,3900000.0,1,24620000.0,7
3B,Nick Moreno,Baltimore,MLB,MLB,PUR,12/19/2034,33,4.0,4.0,3850000.0,2,28730000.0,8
SP,Goh Ishida,Carolina,MLB,MLB,JPN,07/25/2033,34,3.5,3.5,3750000.0,2,22500000.0,6
RP,Carl Johnson,San Francisco,MLB,MLB,CAN,04/21/2034,33,3.0,3.0,3750000.0,1,7500000.0,2
3B,Neil Hamm,Philadelphia,MLB,MLB,USA,04/01/2039,28,4.5,4.5,3700000.0,2,7650000.0,2
SS,Tom Kershner,Washington,MLB,MLB,CAN,11/08/2035,32,3.5,3.5,3700000.0,4,28720000.0,8
3B,Victor Ramírez,Vancouver,MLB,MLB,CUB,07/25/2038,29,5.0,5.0,3675000.0,0,3675000.0,1
SP,Liam Stetson,Los Angeles,MLB,MLB,USA,07/21/2034,33,3.0,3.0,3650000.0,4,24250000.0,7
C,Josiah Gardner,Los Angeles,MLB,MLB,USA,12/25/2033,34,3.5,3.5,3600000.0,1,23430000.0,8
2B,Erkki Häyhä,Boston,MLB,MLB,FIN,06/24/2037,30,3.5,3.5,3600000.0,5,25820000.0,8
SS,Roz Edwards,Toronto,MLB,MLB,USA,10/31/2035,32,3.5,3.5,3550000.0,3,18450000.0,5
LF,Bobo Valdez,Omaha,MLB,MLB,PUR,05/13/2037,30,3.5,3.5,3550000.0,5,23370000.0,8
RF,Sancho Balcazar,Washington,MLB,MLB,CUB,01/23/2035,33,3.0,3.0,3450000.0,1,24040000.0,8
LF,Vinnie Milburn,Arizona,MLB,MLB,USA,05/31/2035,32,3.0,3.0,3350000.0,2,16750000.0,5
SP,Ronaldo Alfonso,Vancouver,MLB,MLB,CUB,11/23/2032,35,3.5,3.5,3250000.0,3,13000000.0,4
SP,Jaime Cabrera,San Diego,MLB,MLB,CUB,09/04/2038,29,3.5,3.5,3250000.0,4,14170000.0,6
LF,Lauro Pérez,Vancouver,MLB,MLB,CUB,12/11/2037,30,5.0,5.0,3250000.0,6,34590000.0,7
SP,Lou Jenkins,Miami,MLB,MLB,CAN,09/08/2033,34,3.0,3.0,3200000.0,4,16000000.0,5
LF,Roger Muriel,Milwaukee,MLB,MLB,USA,12/04/2033,34,3.0,3.0,3200000.0,2,20790000.0,8
CF,LOU TUNG,Cleveland,MLB,MLB,THA,07/16/2038,29,4.0,4.5,3200000.0,4,21650000.0,8
1B,PINWHEEL BROWN,New York,MLB,MLB,BRB,05/18/2037,30,5.0,5.0,3000000.0,2,9000000.0,3
1B,Águila Delgado,Cleveland,MLB,MLB,PUR,09/07/2037,30,3.5,3.5,2980000.0,6,20420000.0,7
LF,Hoshiko Tsuchiya,Boston,MLB,MLB,JPN,11/13/2031,36,2.5,2.5,2920000.0,1,22840000.0,7
SP,Seisaku Kihara,Washington,MLB,MLB,JPN,05/02/2028,39,3.5,3.5,2840000.0,0,2840000.0,1
SP,John Kopf,Baltimore,MLB,MLB,USA,09/28/2035,32,3.5,3.5,2820000.0,3,8460000.0,3
3B,CAL FIELDER,Portland,MLB,MLB,CAN,08/24/2030,37,3.0,3.0,2760000.0,2,15270000.0,7
3B,Nigel Lyons,Colorado,MLB,MLB,USA,04/17/2037,30,3.5,3.5,2760000.0,3,13560000.0,5
CL,Yancarlos Parra,Washington,MLB,MLB,CUB,04/05/2034,33,4.0,4.0,2740000.0,2,8220000.0,3
SP,BRET SVORAD,Milwaukee,MLB,MLB,CZE,08/04/2034,33,3.0,3.0,2740000.0,4,10960000.0,4
SP,Wyatt Aylesworth,Austin,MLB,MLB,USA,08/19/2035,32,3.0,3.0,2660000.0,3,18000000.0,7
SP,T.J. Carter,Vancouver,MLB,MLB,USA,12/16/2037,30,3.5,3.5,2660000.0,4,12620000.0,6
2B,BRIAN STOKES,Montreal,MLB,MLB,JAM,11/23/2032,35,3.0,3.0,2660000.0,1,16630000.0,7
SP,Manny Gonzáles,Carolina,MLB,MLB,PUR,09/01/2037,30,3.0,3.0,2640000.0,2,7920000.0,3
SP,Laurent Issoko,Portland,MLB,MLB,COD,06/04/2029,38,3.0,3.0,2600000.0,2,7680000.0,3
RP,Michael Lawshe,Washington,MLB,MLB,CAN,12/20/2039,28,4.0,4.0,2600000.0,0,7240000.0,3
2B,Hernán Vega,Salt Lake,MLB,MLB,PUR,11/24/2033,34,3.5,3.5,2580000.0,3,10320000.0,4
SS,Dan MacPhee,Minnesota,MLB,MLB,CAN,06/19/2035,32,3.0,3.0,2560000.0,1,5120000.0,2
SP,Oscar Parilla,Seattle,MLB,MLB,PUR,02/09/2034,33,3.5,3.5,2560000.0,4,12800000.0,5
3B,Josh Qualls,Minnesota,MLB,MLB,USA,07/13/2035,32,4.0,4.0,2540000.0,2,10160000.0,4
2B,Kai Turner,Houston,MLB,MLB,USA,02/20/2037,30,4.0,4.0,2540000.0,4,16454000.0,8
1B,Mustapha Kaba,Colorado,MLB,MLB,GAM,06/21/2031,36,3.5,3.5,2500000.0,0,4979722.0,2
SS,Hannibal Cole,Carolina,MLB,MLB,USA,12/07/2039,28,5.0,5.0,2480000.0,8,45480000.0,8
SP,Jesús Garcia,Minnesota,MLB,MLB,MEX,06/30/2031,36,3.0,3.0,2460000.0,2,7380000.0,3
3B,Vince Sill,Detroit,MLB,MLB,USA,04/14/2037,30,3.0,3.0,2460000.0,2,7240000.0,3
2B,A.J. Brewer,Los Angeles,MLB,MLB,USA,06/24/2036,31,3.5,3.5,2440000.0,1,8382000.0,5
SS,Rhett Geml,New York,MLB,MLB,USA,04/22/2038,29,3.0,3.5,2440000.0,4,9760000.0,4
C,Brantley Mease,Washington,MLB,MLB,USA,03/11/2035,32,3.5,3.5,2440000.0,1,15824000.0,8
RF,Leland Wallace,Montreal,MLB,MLB,USA,12/28/2035,32,3.0,3.0,2420000.0,4,12100000.0,5
SP,Nevin Green,New York,MLB,MLB,USA,08/26/2037,30,3.5,3.5,2400000.0,4,9600000.0,4
SS,Graham Cooper,Boston,MLB,MLB,CAN,06/01/2035,32,3.0,3.0,2380000.0,2,6980000.0,3
2B,Clint Hume,Boise,MLB,MLB,USA,11/01/2035,32,3.0,3.0,2380000.0,3,9520000.0,4
C,Jojo Mérida,Kansas City,MLB,MLB,PUR,05/12/2032,35,4.0,4.0,2380000.0,3,7140000.0,3
SP,Junior Walker,Nashville,MLB,MLB,USA,10/25/2038,29,4.5,4.5,2360000.0,0,2360000.0,1
CL,Colt Bazylewicz,Carolina,MLB,MLB,USA,03/26/2035,32,4.0,4.0,2320000.0,3,6960000.0,3
LF,Mike O'Harra,Portland,MLB,MLB,USA,03/04/2034,33,3.0,3.0,2320000.0,2,17010000.0,8
SP,Vincente Ortiz,Toronto,MLB,MLB,PUR,03/22/2035,32,3.0,3.0,2320000.0,4,13920000.0,6
C,Shaun Sestrich,Minnesota,MLB,MLB,USA,11/06/2036,31,5.0,5.0,2320000.0,5,15630000.0,8
LF,Ricky Castrillo,Colorado,MLB,MLB,PUR,04/26/2039,28,3.0,3.0,2300000.0,3,6900000.0,3
SP,Flaminio Farias,Detroit,MLB,MLB,USA,01/13/2035,33,3.0,3.0,2300000.0,1,13200000.0,6
CL,Joey Valentine,San Diego,MLB,MLB,USA,03/26/2041,26,5.0,5.0,2300000.0,0,2300000.0,1
RP,Zach Lege,Milwaukee,MLB,MLB,USA,01/28/2035,33,4.0,4.0,2280000.0,3,6840000.0,3
2B,Shayne Green,Arizona,MLB,MLB,USA,02/02/2035,32,3.0,3.0,2240000.0,3,8960000.0,4
RF,Carl Frazier,Colorado,MLB,MLB,USA,08/12/2037,30,4.0,4.0,2220000.0,3,6660000.0,3
RF,Alan Zuniga,Chicago,MLB,MLB,MEX,04/04/2040,27,4.0,4.0,2220000.0,6,16540000.0,8
SP,Daniel Carbone,Oakland,MLB,MLB,PUR,06/27/2036,31,3.5,3.5,2200000.0,2,4400000.0,2
RF,Andrew Kuziak,Houston,MLB,MLB,USA,08/31/2033,34,2.5,2.5,2200000.0,3,10280000.0,5
RP,Shissho Taho,Nashville,MLB,MLB,JPN,06/30/2027,40,3.5,3.5,2200000.0,2,6600000.0,3
SP,Erik Zubieta,Oakland,MLB,MLB,PUR,02/07/2029,38,3.5,3.5,2200000.0,3,6340000.0,3
SP,Aly Aidara,Arizona,MLB,MLB,MTN,08/03/2038,29,3.5,4.0,2180000.0,4,11440000.0,5
SP,Allen Stoiber,Toronto,MLB,MLB,USA,12/19/2030,37,3.0,3.0,2180000.0,2,6540000.0,3
1B,Berny Campos,San Francisco,MLB,MLB,CUB,07/08/2033,34,5.0,5.0,2140000.0,0,2140000.0,1
RF,Kane Burns,Vancouver,MLB,MLB,USA,11/02/2035,32,4.0,4.0,2120000.0,1,7880000.0,4
SP,Pascal Flores,Kansas City,MLB,MLB,MEX,12/08/2035,32,3.5,3.5,2120000.0,4,8480000.0,4
SP,Whitney Toledo,Tampa Bay,MLB,MLB,USA,12/22/2037,30,3.0,3.0,2100000.0,0,2100000.0,1
SP,Olivier Bissonnette,Portland,MLB,MLB,CAN,11/05/2031,36,3.0,3.0,2060000.0,2,6180000.0,3
SP,Maximilian Rosa,Colorado,MLB,MLB,PUR,06/21/2034,33,3.0,3.0,2060000.0,1,4120000.0,2
RP,Dean Dittberner,Nashville,MLB,MLB,USA,03/05/2038,29,3.5,4.0,2020000.0,2,5940000.0,3
SP,Tatsuya Masuda,Washington,MLB,MLB,JPN,04/02/2030,37,3.0,3.0,2020000.0,1,8080000.0,4
LF,Hunter West,Philadelphia,MLB,MLB,USA,08/24/2041,26,5.0,5.0,2020000.0,0,2020000.0,1
SP,Rodrigo Guevara,Cleveland,MLB,MLB,MEX,08/27/2039,28,2.5,2.5,2000000.0,3,7710000.0,5
C,Juan Rodriguez,Boise,MLB,MLB,PUR,08/31/2032,35,3.0,3.0,2000000.0,2,10000000.0,5
LF,Grayson Barnett,Houston,MLB,MLB,USA,08/31/2039,28,5.0,5.0,1980000.0,0,1980000.0,1
C,Morgan Orcutt,Montreal,MLB,MLB,CAN,07/26/2039,28,5.0,5.0,1980000.0,0,1980000.0,1
SP,Nat Aviles,Vancouver,MLB,MLB,PUR,10/28/2035,32,3.0,3.0,1960000.0,2,5880000.0,3
SP,Mike Byrd,Boise,MLB,MLB,USA,08/27/2036,31,3.0,3.0,1960000.0,0,1960000.0,1
SP,Kevin Maples,Milwaukee,MLB,MLB,USA,03/24/2038,29,2.5,2.5,1960000.0,0,1960000.0,1
LF,Yukinari Yokochi,New Orleans,MLB,MLB,JPN,12/13/2027,40,3.0,3.0,1920000.0,1,3840000.0,2
RP,Jaime Hill,Boise,MLB,MLB,USA,04/29/2031,36,2.5,2.5,1900000.0,1,1900000.0,1
CF,Steel Arm Davis,Omaha,MLB,MLB,BAH,06/22/2035,32,3.0,3.0,1880000.0,1,13820000.0,8
3B,Gabriel Whalen,San Francisco,MLB,MLB,USA,06/08/2038,29,3.0,3.0,1880000.0,2,6580000.0,4
3B,Noel Eister,Tampa Bay,MLB,MLB,USA,09/03/2033,34,3.0,3.0,1860000.0,1,8220000.0,4
C,Chander Madan,Seattle,MLB,MLB,CAN,11/26/2036,31,4.0,4.0,1860000.0,1,1860000.0,1
CF,Vincente Ortega,Montreal,MLB,MLB,PUR,02/26/2037,30,3.5,3.5,1860000.0,1,1860000.0,1
2B,Hunter Taylor,Miami,MLB,MLB,USA,08/28/2038,29,3.5,3.5,1860000.0,1,1860000.0,1
SP,Gavin Villa,Cincinnati,MLB,MLB,USA,12/19/2038,29,3.5,3.5,1860000.0,1,1860000.0,1
SP,Lazarus Bowers,Minnesota,MLB,MLB,USA,11/10/2036,31,3.0,3.0,1840000.0,3,5680000.0,3
RP,Adrián Escobedo,Omaha,MLB,MLB,MEX,01/03/2034,34,4.0,4.0,1820000.0,2,3640000.0,2
1B,Eric Holler,Philadelphia,MLB,MLB,USA,03/03/2042,25,4.5,5.0,1820000.0,8,32920000.0,8
SP,Bento Rivera,Boise,MLB,MLB,USA,10/01/2035,32,3.0,3.0,1820000.0,2,3820000.0,2
SP,Jaime Sanchez,Detroit,MLB,MLB,PUR,01/08/2039,29,4.0,4.5,1820000.0,4,18520000.0,4
C,Matthew Long,Oakland,MLB,MLB,USA,11/09/2032,35,4.0,4.0,1800000.0,3,7200000.0,4
SP,Gordy Hilton,Cleveland,MLB,MLB,USA,06/15/2040,27,4.0,4.5,1780000.0,4,18580000.0,4
LF,Bill Owings,Portland,MLB,MLB,USA,05/02/2036,31,4.0,4.0,1780000.0,1,11984000.0,8
SS,Flavino Rivera,Chicago,MLB,MLB,PUR,05/17/2035,32,3.5,3.5,1780000.0,1,8010000.0,5
C,Aiden Whitehead,Nashville,MLB,MLB,USA,10/21/2033,34,4.0,4.0,1780000.0,2,11280000.0,7
RP,Jeremy Colina,San Francisco,MLB,MLB,URU,04/01/2034,33,4.0,4.0,1760000.0,2,3520000.0,2
SP,Jaxson Evanson,Arizona,MLB,MLB,USA,10/05/2034,33,3.0,3.0,1760000.0,2,3520000.0,2
1B,Barnum Hix,Salt Lake,MLB,MLB,USA,11/15/2038,29,3.0,3.5,1760000.0,3,5280000.0,3
SP,Kanaye Fujihara,Toronto,MLB,MLB,JPN,08/25/2030,37,3.0,3.0,1740000.0,0,1740000.0,1
C,Bart Ployyai,Miami,MLB,MLB,USA,02/11/2035,32,3.5,3.5,1740000.0,4,8700000.0,5
LF,Jeff Yanick,Detroit,MLB,MLB,USA,05/26/2039,28,5.0,5.0,1720000.0,0,1720000.0,1
SP,Aimar Espinosa,Nashville,MLB,MLB,CUB,09/12/2035,32,5.0,5.0,1700000.0,0,1700000.0,1
3B,Brandon Lanteigne,Cleveland,MLB,MLB,USA,05/08/2034,33,3.5,3.5,1700000.0,2,5100000.0,3
2B,Jonas Eriksson,St. Louis,MLB,MLB,FIN,09/12/2032,35,3.0,3.0,1680000.0,2,6580000.0,4
CL,Kevyn Feese,Los Angeles,MLB,MLB,USA,07/25/2032,35,3.0,3.0,1680000.0,1,1680000.0,1
LF,Ashton Snethen,Austin,MLB,MLB,USA,03/21/2040,27,4.0,4.5,1680000.0,0,1680000.0,1
SP,Raiden Garner,Atlanta,MLB,MLB,USA,12/29/2036,31,4.0,4.0,1660000.0,2,4574000.0,4
SP,Ricky Owen,Miami,MLB,MLB,USA,02/21/2035,32,3.0,3.0,1660000.0,1,1660000.0,1
1B,Mike Butler,Boston,MLB,MLB,USA,05/09/2036,31,3.0,3.0,1580000.0,1,1580000.0,1
SP,Chino Enomoto,Albuquerque,MLB,MLB,JPN,04/04/2028,39,3.0,3.0,1580000.0,1,1580000.0,1
SS,P.J. Van Hill,Arizona,MLB,MLB,USA,09/10/2033,34,3.0,3.0,1580000.0,2,3160000.0,2
1B,Alex Foerster,Kansas City,MLB,MLB,USA,06/12/2036,31,3.0,3.0,1560000.0,3,10644000.0,8
